epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2386.03,1.25512,0.872,1.18705,0.76144,0.74513,0.78443,0.45946,1.48974,0.95766,1.33016,0.000378829,0.000378829,0.000378829
43,2425.98,1.25442,0.87751,1.18011,0.76515,0.74572,0.78738,0.46337,1.48917,0.93472,1.33243,0.000369312,0.000369312,0.000369312
44,2466.16,1.23552,0.86961,1.17841,0.77612,0.73532,0.78437,0.45874,1.49793,0.94664,1.32906,0.000359796,0.000359796,0.000359796
45,2506.3,1.23044,0.85682,1.17364,0.74444,0.76252,0.78427,0.45611,1.49656,0.94505,1.3431,0.00035028,0.00035028,0.00035028
46,2544.73,1.23627,0.85698,1.17956,0.76552,0.74058,0.78649,0.45736,1.50995,0.95247,1.35191,0.000340763,0.000340763,0.000340763
47,2583.53,1.22858,0.85091,1.17163,0.78936,0.73619,0.78997,0.45817,1.50074,0.95817,1.33952,0.000331247,0.000331247,0.000331247
48,2621.86,1.22526,0.85295,1.17072,0.76009,0.75833,0.78973,0.46347,1.49399,0.93803,1.33937,0.00032173,0.00032173,0.00032173
49,2660.3,1.23599,0.8651,1.17527,0.76641,0.75406,0.78933,0.46126,1.49433,0.93583,1.33878,0.000312214,0.000312214,0.000312214
50,2697.9,1.20472,0.82666,1.15665,0.77554,0.74346,0.79455,0.46328,1.50416,0.9299,1.34449,0.000302698,0.000302698,0.000302698
51,2735.87,1.21332,0.84123,1.1652,0.75009,0.75513,0.7868,0.4633,1.49783,0.92862,1.33887,0.000293181,0.000293181,0.000293181
52,2774.33,1.20459,0.82958,1.16114,0.75402,0.75616,0.79067,0.46107,1.50494,0.93525,1.34368,0.000283665,0.000283665,0.000283665
53,2812.37,1.20134,0.81718,1.15463,0.75861,0.7511,0.78431,0.46092,1.49288,0.93347,1.33895,0.000274148,0.000274148,0.000274148
54,2848.66,1.19252,0.80732,1.15374,0.76907,0.75042,0.78777,0.46162,1.50585,0.93751,1.34303,0.000264632,0.000264632,0.000264632
55,2885.54,1.19078,0.80806,1.15334,0.76562,0.74182,0.78411,0.45871,1.50825,0.94373,1.34497,0.000255116,0.000255116,0.000255116
56,2922.19,1.17558,0.807,1.14439,0.76166,0.75245,0.78944,0.46412,1.50677,0.93384,1.34973,0.000245599,0.000245599,0.000245599
57,2958.64,1.17538,0.80102,1.15091,0.74969,0.76009,0.77849,0.45833,1.5096,0.94297,1.35505,0.000236083,0.000236083,0.000236083
58,2995.83,1.17492,0.79515,1.14603,0.77516,0.73436,0.7792,0.45745,1.51202,0.93841,1.35685,0.000226567,0.000226567,0.000226567
59,3032.54,1.1582,0.78968,1.13925,0.76299,0.74908,0.78058,0.45951,1.50488,0.93872,1.35456,0.00021705,0.00021705,0.00021705
60,3069.7,1.17593,0.79481,1.14632,0.76365,0.75313,0.78425,0.45973,1.4999,0.93053,1.34812,0.000207534,0.000207534,0.000207534
61,3106.12,1.16233,0.78002,1.14079,0.76982,0.75219,0.78327,0.45938,1.5094,0.93528,1.35949,0.000198018,0.000198018,0.000198018
62,3141.84,1.1683,0.78412,1.14353,0.77027,0.74993,0.78393,0.45886,1.50531,0.93949,1.35391,0.000188501,0.000188501,0.000188501
63,3177.88,1.16199,0.78264,1.14575,0.76129,0.75757,0.78528,0.45748,1.51517,0.94359,1.36309,0.000178985,0.000178985,0.000178985
64,3213.19,1.13656,0.76182,1.13017,0.76538,0.75335,0.78512,0.46056,1.50569,0.93582,1.35597,0.000169468,0.000169468,0.000169468
65,3248.85,1.13126,0.75398,1.12582,0.7586,0.76272,0.786,0.46051,1.51011,0.93885,1.35969,0.000159952,0.000159952,0.000159952
66,3284.28,1.14333,0.77335,1.13525,0.78696,0.72628,0.78887,0.46285,1.50288,0.93151,1.35414,0.000150436,0.000150436,0.000150436
67,3319.32,1.14416,0.75646,1.12822,0.74428,0.77302,0.7891,0.4662,1.50736,0.92189,1.35478,0.000140919,0.000140919,0.000140919
68,3355.07,1.13497,0.75405,1.12537,0.75316,0.75652,0.7871,0.46494,1.50248,0.93129,1.35579,0.000131403,0.000131403,0.000131403
69,3390.04,1.13054,0.74691,1.12427,0.7626,0.7511,0.78935,0.46437,1.51372,0.92961,1.36346,0.000121887,0.000121887,0.000121887
70,3425.27,1.12472,0.74261,1.12389,0.77921,0.7407,0.7893,0.46215,1.51342,0.93071,1.36533,0.00011237,0.00011237,0.00011237
71,3460.02,1.05093,0.56636,1.09842,0.78828,0.73593,0.79221,0.46669,1.51044,0.92698,1.36745,0.000102854,0.000102854,0.000102854
72,3493.97,1.03645,0.55263,1.09382,0.78477,0.74046,0.78996,0.46446,1.5195,0.9327,1.37298,9.33374e-05,9.33374e-05,9.33374e-05
73,3527.81,1.03386,0.5471,1.09406,0.78226,0.74476,0.78953,0.46423,1.5192,0.93566,1.3774,8.3821e-05,8.3821e-05,8.3821e-05
74,3561.41,1.02242,0.54127,1.0853,0.78163,0.74765,0.78922,0.46573,1.51699,0.93448,1.37767,7.43046e-05,7.43046e-05,7.43046e-05
75,3594.64,1.01466,0.53711,1.08477,0.80108,0.7335,0.79205,0.46648,1.51751,0.93422,1.37595,6.47882e-05,6.47882e-05,6.47882e-05
76,3627.94,1.01131,0.52943,1.07873,0.79682,0.73497,0.79162,0.46648,1.51907,0.93705,1.37679,5.52719e-05,5.52719e-05,5.52719e-05
77,3661.01,1.0063,0.53202,1.08009,0.79491,0.73739,0.79133,0.4664,1.5174,0.9388,1.37955,4.57555e-05,4.57555e-05,4.57555e-05
78,3693.9,0.99703,0.51966,1.0693,0.80108,0.73383,0.79219,0.46706,1.51824,0.93894,1.38148,3.62391e-05,3.62391e-05,3.62391e-05
79,3727.02,0.9955,0.51955,1.07191,0.79866,0.73365,0.79215,0.46791,1.51698,0.93983,1.38261,2.67228e-05,2.67228e-05,2.67228e-05
80,3759.98,0.99345,0.52428,1.07625,0.79719,0.73379,0.79176,0.46718,1.52056,0.94061,1.38488,1.72064e-05,1.72064e-05,1.72064e-05
