epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3690.88,1.30885,0.96658,1.61682,0.75447,0.79424,0.82633,0.48263,1.47453,0.92133,1.83753,0.000378829,0.000378829,0.000378829
43,3755.5,1.31448,0.9689,1.61474,0.77898,0.78273,0.83111,0.49146,1.46212,0.90716,1.82914,0.000369312,0.000369312,0.000369312
44,3821.24,1.29557,0.96044,1.60845,0.79753,0.76221,0.82219,0.48003,1.47603,0.91977,1.83765,0.000359796,0.000359796,0.000359796
45,3885.94,1.28805,0.94588,1.59852,0.79287,0.77663,0.82772,0.48938,1.4555,0.91076,1.82736,0.00035028,0.00035028,0.00035028
46,3949.97,1.29996,0.94541,1.60806,0.79058,0.76809,0.81664,0.47952,1.4761,0.91262,1.84036,0.000340763,0.000340763,0.000340763
47,4015.5,1.28114,0.92869,1.59554,0.79383,0.78538,0.83617,0.49297,1.4693,0.90446,1.84027,0.000331247,0.000331247,0.000331247
48,4079.98,1.27927,0.93113,1.58923,0.79339,0.78267,0.83402,0.49391,1.45444,0.90561,1.82054,0.00032173,0.00032173,0.00032173
49,4143.97,1.28139,0.93801,1.59025,0.80156,0.76983,0.83482,0.48985,1.46603,0.89522,1.83753,0.000312214,0.000312214,0.000312214
50,4207.04,1.26019,0.89699,1.57302,0.78832,0.79653,0.83706,0.4919,1.47067,0.89639,1.84109,0.000302698,0.000302698,0.000302698
51,4270.43,1.26409,0.90161,1.57573,0.79417,0.78744,0.84197,0.50262,1.46317,0.87446,1.83199,0.000293181,0.000293181,0.000293181
52,4334.26,1.2478,0.89723,1.56679,0.80565,0.78277,0.83551,0.49704,1.46714,0.88463,1.83545,0.000283665,0.000283665,0.000283665
53,4397.5,1.24808,0.87607,1.56064,0.78228,0.78674,0.83226,0.49913,1.45853,0.89156,1.82842,0.000274148,0.000274148,0.000274148
54,4461.03,1.23244,0.86111,1.5519,0.78877,0.78707,0.83091,0.49263,1.47547,0.89137,1.84839,0.000264632,0.000264632,0.000264632
55,4524.28,1.23049,0.87047,1.55364,0.79358,0.77691,0.83214,0.49191,1.47406,0.89871,1.8473,0.000255116,0.000255116,0.000255116
56,4587.79,1.21525,0.85874,1.53605,0.78123,0.79737,0.83644,0.49257,1.46958,0.8958,1.84564,0.000245599,0.000245599,0.000245599
57,4649.65,1.21167,0.85279,1.53976,0.77929,0.79586,0.83654,0.49397,1.47703,0.88004,1.85584,0.000236083,0.000236083,0.000236083
58,4711.59,1.20416,0.83489,1.52843,0.77696,0.7991,0.83721,0.49606,1.47552,0.87861,1.8515,0.000226567,0.000226567,0.000226567
59,4773.72,1.18591,0.83372,1.51961,0.81033,0.77252,0.83373,0.49606,1.46889,0.87742,1.84861,0.00021705,0.00021705,0.00021705
60,4837.06,1.20044,0.83063,1.52632,0.78279,0.79597,0.83507,0.49513,1.47436,0.88648,1.85296,0.000207534,0.000207534,0.000207534
61,4898.73,1.18943,0.81725,1.51515,0.79184,0.78826,0.83943,0.49538,1.4872,0.8824,1.86547,0.000198018,0.000198018,0.000198018
62,4960.26,1.19126,0.82833,1.51803,0.80357,0.78501,0.83658,0.49748,1.47601,0.87914,1.86043,0.000188501,0.000188501,0.000188501
63,5022.07,1.17543,0.81182,1.51428,0.79314,0.78622,0.8354,0.49434,1.47834,0.88048,1.86299,0.000178985,0.000178985,0.000178985
64,5084.04,1.15319,0.78533,1.48738,0.77276,0.80827,0.83829,0.49949,1.47301,0.87363,1.86189,0.000169468,0.000169468,0.000169468
65,5145.11,1.14725,0.78329,1.4853,0.77785,0.7949,0.8321,0.49495,1.47819,0.88391,1.8629,0.000159952,0.000159952,0.000159952
66,5205.44,1.15223,0.79335,1.48833,0.79316,0.78407,0.83604,0.49979,1.46814,0.88261,1.85426,0.000150436,0.000150436,0.000150436
67,5265.69,1.15087,0.77969,1.48538,0.78438,0.79716,0.83569,0.49804,1.47854,0.87559,1.86804,0.000140919,0.000140919,0.000140919
68,5327.35,1.14333,0.77479,1.47624,0.79056,0.78656,0.83173,0.49633,1.48056,0.87569,1.86959,0.000131403,0.000131403,0.000131403
69,5387.75,1.13231,0.76074,1.47274,0.80836,0.78935,0.83957,0.4988,1.48148,0.86957,1.87239,0.000121887,0.000121887,0.000121887
70,5448.08,1.12146,0.75799,1.4648,0.81785,0.77594,0.83432,0.49715,1.48342,0.88387,1.87809,0.00011237,0.00011237,0.00011237
71,5508.34,1.05582,0.57838,1.45501,0.79865,0.78775,0.83758,0.4992,1.4872,0.88173,1.89031,0.000102854,0.000102854,0.000102854
