epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4678.08,1.61562,1.60302,1.56069,0.54554,0.54173,0.53224,0.2733,1.70185,1.553,1.61052,0.000378829,0.000378829,0.000378829
43,4767.74,1.62721,1.61898,1.56485,0.55591,0.53934,0.53931,0.274,1.70077,1.54249,1.60767,0.000369312,0.000369312,0.000369312
44,4855.85,1.60557,1.62514,1.55972,0.54309,0.55584,0.53672,0.27558,1.70986,1.54218,1.61241,0.000359796,0.000359796,0.000359796
45,4940.03,1.60707,1.59923,1.55082,0.54939,0.54179,0.53213,0.27802,1.70101,1.53976,1.60315,0.00035028,0.00035028,0.00035028
46,5019.73,1.61827,1.60191,1.55917,0.53609,0.54454,0.53821,0.27931,1.72074,1.54015,1.6169,0.000340763,0.000340763,0.000340763
47,5110.42,1.61459,1.59448,1.55657,0.55114,0.54736,0.54039,0.27824,1.7087,1.54599,1.61074,0.000331247,0.000331247,0.000331247
48,5191.89,1.61301,1.59717,1.55251,0.57779,0.5357,0.54822,0.28456,1.69266,1.52931,1.60005,0.00032173,0.00032173,0.00032173
49,5274.98,1.62979,1.61394,1.56347,0.5617,0.52405,0.54648,0.28175,1.71652,1.5358,1.6134,0.000312214,0.000312214,0.000312214
50,5365.14,1.60813,1.57901,1.5473,0.58598,0.52624,0.54778,0.28131,1.70596,1.5386,1.60851,0.000302698,0.000302698,0.000302698
51,5450.16,1.61609,1.60245,1.55567,0.57933,0.52715,0.54654,0.28197,1.70222,1.53414,1.60686,0.000293181,0.000293181,0.000293181
52,5535.29,1.60759,1.59401,1.55656,0.58137,0.52876,0.54589,0.28062,1.70502,1.52722,1.60369,0.000283665,0.000283665,0.000283665
53,5617.42,1.60438,1.56248,1.54197,0.5835,0.54121,0.55568,0.29289,1.69805,1.51661,1.59723,0.000274148,0.000274148,0.000274148
54,5700.14,1.60083,1.56621,1.54154,0.57352,0.54795,0.55953,0.2892,1.69825,1.52392,1.598,0.000264632,0.000264632,0.000264632
55,5778.13,1.60577,1.56153,1.55209,0.56973,0.55055,0.55482,0.28321,1.71217,1.51987,1.60631,0.000255116,0.000255116,0.000255116
56,5863.54,1.59602,1.55865,1.539,0.56845,0.55657,0.55973,0.28766,1.70871,1.52,1.60228,0.000245599,0.000245599,0.000245599
57,5942.65,1.60001,1.57016,1.54652,0.58475,0.53953,0.56068,0.28824,1.71149,1.52049,1.60722,0.000236083,0.000236083,0.000236083
58,6024,1.59356,1.54539,1.53417,0.56111,0.56383,0.56286,0.29088,1.70617,1.51727,1.60418,0.000226567,0.000226567,0.000226567
59,6108.82,1.59138,1.54673,1.54495,0.59074,0.54806,0.5655,0.29166,1.70383,1.50982,1.6011,0.00021705,0.00021705,0.00021705
60,6193.43,1.6021,1.55608,1.54408,0.57641,0.55902,0.56196,0.28798,1.70554,1.51529,1.60167,0.000207534,0.000207534,0.000207534
61,6278.63,1.59242,1.53774,1.53601,0.57535,0.55436,0.55847,0.28938,1.69293,1.51384,1.59661,0.000198018,0.000198018,0.000198018
62,6360.43,1.60821,1.55117,1.54612,0.5811,0.55176,0.562,0.28848,1.70149,1.51758,1.60107,0.000188501,0.000188501,0.000188501
63,6442.86,1.59721,1.5499,1.54431,0.56954,0.5513,0.56053,0.28876,1.70431,1.51132,1.60264,0.000178985,0.000178985,0.000178985
64,6522.57,1.57136,1.52533,1.5239,0.57384,0.55776,0.56101,0.28733,1.69615,1.51522,1.59657,0.000169468,0.000169468,0.000169468
65,6602.23,1.57084,1.5136,1.52842,0.58376,0.54318,0.56135,0.29142,1.68852,1.50722,1.59251,0.000159952,0.000159952,0.000159952
66,6681.65,1.59139,1.54108,1.53781,0.56171,0.55981,0.56566,0.29214,1.68723,1.50307,1.59079,0.000150436,0.000150436,0.000150436
67,6761.17,1.59455,1.52341,1.53366,0.57808,0.55012,0.56246,0.28996,1.69952,1.50254,1.5979,0.000140919,0.000140919,0.000140919
68,6841.52,1.57909,1.52235,1.53093,0.59577,0.53866,0.5617,0.29032,1.69201,1.50549,1.59439,0.000131403,0.000131403,0.000131403
69,6921.94,1.59633,1.52567,1.5379,0.57382,0.55065,0.56463,0.29216,1.6952,1.50176,1.59334,0.000121887,0.000121887,0.000121887
70,7001.39,1.58184,1.51368,1.53439,0.56108,0.5681,0.56451,0.29339,1.69555,1.49761,1.59349,0.00011237,0.00011237,0.00011237
71,7082.2,1.57761,1.35242,1.55675,0.55439,0.56529,0.5648,0.29692,1.68152,1.49258,1.5872,0.000102854,0.000102854,0.000102854
72,7157.82,1.56498,1.33,1.5564,0.56031,0.56797,0.56739,0.29599,1.68711,1.48878,1.58998,9.33374e-05,9.33374e-05,9.33374e-05
73,7231.55,1.56834,1.32365,1.55103,0.57677,0.55157,0.56867,0.29538,1.68381,1.49021,1.58714,8.3821e-05,8.3821e-05,8.3821e-05
74,7304.57,1.55707,1.30647,1.54282,0.57578,0.56488,0.56947,0.2985,1.67898,1.48683,1.58291,7.43046e-05,7.43046e-05,7.43046e-05
75,7377.86,1.55873,1.3151,1.55167,0.5831,0.56441,0.5688,0.29802,1.68397,1.48414,1.58637,6.47882e-05,6.47882e-05,6.47882e-05
76,7450.32,1.55909,1.30199,1.54628,0.58099,0.56423,0.56898,0.29905,1.68421,1.47936,1.58588,5.52719e-05,5.52719e-05,5.52719e-05
77,7522.4,1.56072,1.30631,1.54943,0.56957,0.56923,0.57142,0.29906,1.68149,1.47793,1.58401,4.57555e-05,4.57555e-05,4.57555e-05
78,7594.03,1.55562,1.28695,1.54291,0.58227,0.55825,0.57062,0.29907,1.67992,1.47663,1.58316,3.62391e-05,3.62391e-05,3.62391e-05
79,7665.66,1.55409,1.28724,1.54447,0.58269,0.55992,0.57148,0.30037,1.67642,1.47627,1.58232,2.67228e-05,2.67228e-05,2.67228e-05
80,7737.44,1.56028,1.29219,1.55244,0.59312,0.55156,0.57227,0.30089,1.67491,1.47655,1.58112,1.72064e-05,1.72064e-05,1.72064e-05
