epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2785.67,1.27744,0.87108,1.2078,0.79507,0.77392,0.82446,0.49099,1.44379,0.86463,1.3177,0.000378829,0.000378829,0.000378829
43,2836.33,1.27898,0.87442,1.20711,0.78985,0.7917,0.83106,0.50168,1.42682,0.8462,1.31347,0.000369312,0.000369312,0.000369312
44,2886.78,1.25989,0.87514,1.20613,0.79154,0.79016,0.83348,0.49458,1.44402,0.84793,1.31907,0.000359796,0.000359796,0.000359796
45,2937.49,1.25742,0.85691,1.19919,0.80276,0.76326,0.81309,0.48244,1.44253,0.85605,1.31895,0.00035028,0.00035028,0.00035028
46,2988.38,1.26069,0.85563,1.20306,0.78741,0.77435,0.82229,0.48682,1.45399,0.86095,1.33521,0.000340763,0.000340763,0.000340763
47,3038.68,1.25106,0.83534,1.19495,0.80089,0.78735,0.83601,0.49955,1.42829,0.84699,1.31232,0.000331247,0.000331247,0.000331247
48,3088.07,1.242,0.83905,1.18903,0.80811,0.76847,0.82185,0.49426,1.43853,0.85749,1.325,0.00032173,0.00032173,0.00032173
49,3138.11,1.24923,0.84112,1.19394,0.80429,0.77935,0.84016,0.50351,1.44443,0.84317,1.32439,0.000312214,0.000312214,0.000312214
50,3187.41,1.22555,0.80908,1.17819,0.80699,0.77735,0.83128,0.49924,1.44502,0.84474,1.32122,0.000302698,0.000302698,0.000302698
51,3236.15,1.23397,0.81957,1.18631,0.81329,0.79181,0.84335,0.50606,1.44171,0.82905,1.31659,0.000293181,0.000293181,0.000293181
52,3285.57,1.21839,0.80951,1.17818,0.79683,0.79,0.83477,0.50154,1.43431,0.82627,1.31936,0.000283665,0.000283665,0.000283665
53,3332.75,1.21944,0.79151,1.17547,0.80354,0.78794,0.83597,0.50156,1.43884,0.83361,1.33015,0.000274148,0.000274148,0.000274148
54,3379.93,1.2076,0.78613,1.17085,0.81323,0.79011,0.83545,0.50146,1.4469,0.8302,1.32898,0.000264632,0.000264632,0.000264632
55,3427.19,1.20168,0.78587,1.16998,0.79508,0.78387,0.83095,0.49846,1.45078,0.83069,1.32685,0.000255116,0.000255116,0.000255116
56,3474.73,1.18738,0.77289,1.15961,0.81848,0.79275,0.83675,0.5013,1.45586,0.82785,1.33565,0.000245599,0.000245599,0.000245599
57,3521.64,1.18414,0.77095,1.1669,0.81312,0.78757,0.83903,0.5053,1.44441,0.82457,1.33461,0.000236083,0.000236083,0.000236083
58,3568.66,1.18246,0.75967,1.15941,0.82099,0.78287,0.83882,0.50281,1.44442,0.82155,1.33296,0.000226567,0.000226567,0.000226567
